,name,publisher,positive,negative,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,publisher_counts
27070,The Village Story,Other,2,0,"0 .. 20,000",0,0,0,0,499,499,0,1
27071,Comrades and Barons: Solitaire of Bloody 1919,Other,29,4,"0 .. 20,000",0,0,0,0,999,999,0,3
27072,Path to Mnemosyne,Other,68,8,"0 .. 20,000",0,0,0,0,999,999,0,3
27073,Detective Holmes: Trap for the Hunter. Hidden objects. 探し物,Other,37,12,"0 .. 20,000",0,0,0,0,299,299,0,12
27074,Desktop Audio Visualizer,Other,24,16,"0 .. 20,000",0,0,0,0,299,299,0,4
27075,Star Clash,Other,2,0,"0 .. 20,000",0,0,0,0,99,99,0,3
27076,Burned Land,Other,34,10,"0 .. 20,000",0,0,0,0,2499,2499,0,2
27077,Spears 'n' Spades,Other,32,1,"0 .. 20,000",0,0,0,0,199,199,0,1
27078,Healer Simulator,Other,2,8,"0 .. 20,000",0,0,0,0,199,199,0,1
27079,Super BOO Quest,Other,11,0,"0 .. 20,000",0,0,0,0,199,199,0,6
27080,Stickman Maverick : Bad Boys Killer,Other,1,1,"0 .. 20,000",0,0,0,0,299,299,0,9
27081,The Fielder's Choice,Choice of Games,4,4,"0 .. 20,000",2,0,2,0,399,399,0,116
27082,幻想四倍剣^2 悔悟棒の謎 / GensoYonbaiKen^2,Other,32,1,"0 .. 20,000",0,0,0,0,999,999,0,2
27083,Megalith,Other,38,17,"0 .. 20,000",0,0,0,0,2499,2499,0,1
27084,Derelict (DO NOT BUY),Other,7,5,"0 .. 20,000",0,0,0,0,19999,19999,0,1
27085,Westmark Manor,Other,23,7,"0 .. 20,000",0,0,0,0,1499,1499,0,2
27086,Nightmare Simulator,Other,10,18,"0 .. 20,000",0,0,0,0,199,199,0,3
27087,Miniature TD - VR,Other,5,4,"0 .. 20,000",0,0,0,0,99,99,0,5
27088,Colourless,Other,7,0,"0 .. 20,000",0,0,0,0,299,299,0,1
27089,Related,Other,46,5,"0 .. 20,000",0,0,0,0,499,499,0,1
27090,RACE: Caterham Expansion,Other,7,3,"0 .. 20,000",0,0,0,0,499,499,0,6
27091,All Haze Eve,Other,7,2,"0 .. 20,000",0,0,0,0,299,299,0,3
27092,Photo & Graphic Designer 16 Steam Edition,MAGIX Software GmbH,9,0,"0 .. 20,000",0,0,0,0,5999,5999,0,56
27093,Crazy Machines 1.5,Viva Media,1,1,"0 .. 20,000",0,0,0,0,999,999,0,31
27094,Song Samurai,Other,1,2,"0 .. 20,000",0,0,0,0,499,499,0,1
27095,Drafting Tales,Other,40,8,"0 .. 20,000",0,0,0,0,1099,1099,0,1
27096,Kuros,Other,9,1,"0 .. 20,000",0,0,0,0,699,699,0,10
27097,Chief's Quest,Other,3,2,"0 .. 20,000",0,0,0,0,999,999,0,1
27098,Land It!,Other,10,1,"0 .. 20,000",0,0,0,0,999,999,0,4
27099,BATTLE X Arcade,Other,0,1,"0 .. 20,000",0,0,0,0,2500,2500,0,2
27100,Clam Man,Other,72,4,"0 .. 20,000",0,0,0,0,999,999,0,2
27101,Aqua Lungers,Other,16,1,"0 .. 20,000",0,0,0,0,1299,1299,0,1
27102,Red Blue,Other,2,0,"0 .. 20,000",0,0,0,0,99,99,0,1
27103,Cooking Trip,8floor,3,1,"0 .. 20,000",0,0,0,0,999,999,0,55
27104,iPi Recorder 2,Other,9,3,"0 .. 20,000",0,0,0,0,0,0,0,1
27105,Turret Sector,Other,2,3,"0 .. 20,000",0,0,0,0,599,599,0,1
27106,Fantom Feast,Other,2,1,"0 .. 20,000",0,0,0,0,199,199,0,2
27107,PRiCERPG,Other,0,3,"0 .. 20,000",0,0,0,0,499,499,0,1
27108,Harvest Moon: Mad Dash,Other,5,4,"0 .. 20,000",0,0,0,0,1999,1999,0,4
27109,Haunted Dungeons: Hyakki Castle,Other,13,9,"0 .. 20,000",0,0,0,0,1399,1399,0,1
27110,Ocean's Treasures,Other,2,1,"0 .. 20,000",0,0,0,0,499,499,0,2
27111,The Museum of ThroughView,Other,1,0,"0 .. 20,000",0,0,0,0,999,999,0,1
27112,[it's possible] Classic,Other,12,0,"0 .. 20,000",0,0,0,0,99,99,0,2
27113,Dave,Other,18,0,"0 .. 20,000",0,0,0,0,600,600,0,2
