,name,publisher,positive,negative,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,publisher_counts
0,Dota 2,Valve,1131660,203919,"100,000,000 .. 200,000,000",35915,2151,1395,1226,0,0,0,33
1,Counter-Strike: Global Offensive,Valve,4017089,554963,"100,000,000 .. 200,000,000",27649,1015,7750,273,0,0,0,33
2,Team Fortress 2,Valve,643108,40660,"50,000,000 .. 100,000,000",11012,1831,405,460,0,0,0,33
3,PLAYERUNKNOWN'S BATTLEGROUNDS,Other,811840,692230,"20,000,000 .. 50,000,000",21902,640,10056,211,2999,2999,0,1
4,Unturned,Other,355722,35294,"20,000,000 .. 50,000,000",5297,2901,356,782,0,0,0,1
5,Warframe,Other,336354,33616,"20,000,000 .. 50,000,000",8612,961,514,191,0,0,0,2
6,Grand Theft Auto V,Other,725860,180811,"20,000,000 .. 50,000,000",10541,539,5605,150,2999,2999,0,17
7,Tom Clancy's Rainbow Six Siege,Ubisoft,632146,88278,"20,000,000 .. 50,000,000",12939,699,3218,369,1999,1999,0,123
8,Terraria,Other,550183,12244,"20,000,000 .. 50,000,000",7765,663,3086,252,999,999,0,2
9,Brawlhalla,Ubisoft,137596,24621,"20,000,000 .. 50,000,000",4023,808,183,127,0,0,0,123
10,Left 4 Dead 2,Valve,360513,10740,"20,000,000 .. 50,000,000",2148,457,558,160,999,999,0,33
11,Garry's Mod,Valve,559656,21031,"20,000,000 .. 50,000,000",9508,947,1603,210,999,999,0,33
12,Counter-Strike,Valve,158317,4132,"10,000,000 .. 20,000,000",9858,401,165,84,999,999,0,33
13,Half-Life 2: Lost Coast,Valve,7033,1123,"10,000,000 .. 20,000,000",1733,0,24,0,0,0,0,33
14,Serena,Other,4747,1423,"10,000,000 .. 20,000,000",4257,0,36,0,0,0,0,2
15,Paladins,Other,233343,39543,"10,000,000 .. 20,000,000",3564,1773,480,653,0,0,0,5
16,War Thunder,Other,133394,32128,"10,000,000 .. 20,000,000",4385,325,292,158,0,0,0,4
17,PAYDAY 2,Other,389173,58648,"10,000,000 .. 20,000,000",5614,908,742,250,999,999,0,3
18,Path of Exile,Other,128126,9212,"10,000,000 .. 20,000,000",11131,2012,422,1059,0,0,0,1
19,Borderlands 2,Other,215769,15390,"10,000,000 .. 20,000,000",2655,80,1108,137,1999,1999,0,4
20,Heroes & Generals,Other,81032,39471,"10,000,000 .. 20,000,000",2189,2425,106,254,0,0,0,1
21,Counter-Strike: Source,Valve,104285,4310,"10,000,000 .. 20,000,000",8507,398,582,636,999,999,0,33
22,Destiny 2,Other,222014,33176,"10,000,000 .. 20,000,000",4077,1825,432,1444,0,0,0,1
23,Guacamelee! Super Turbo Championship Edition,Other,4584,378,"10,000,000 .. 20,000,000",196,0,81,0,1499,1499,0,4
