,name,publisher,positive,negative,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,publisher_counts
0,Counter-Strike: Global Offensive,Valve,4011962,554258,"100,000,000 .. 200,000,000",27831,972,7076,312,0,0,0,33
1,Dota 2,Valve,1130845,203615,"100,000,000 .. 200,000,000",35400,1780,1157,1146,0,0,0,33
2,Team Fortress 2,Valve,642599,40620,"50,000,000 .. 100,000,000",10730,1888,358,199,0,0,0,33
3,PLAYERUNKNOWN'S BATTLEGROUNDS,Other,810981,691473,"20,000,000 .. 50,000,000",23736,824,9608,416,2999,2999,0,1
4,Unturned,Other,355549,35278,"20,000,000 .. 50,000,000",3702,1926,327,571,0,0,0,1
5,Warframe,Other,336066,33560,"20,000,000 .. 50,000,000",8581,947,450,282,0,0,0,2
6,Grand Theft Auto V,Other,724901,180715,"20,000,000 .. 50,000,000",10779,727,5133,216,2999,2999,0,17
7,Terraria,Other,548992,12210,"20,000,000 .. 50,000,000",6211,527,2432,140,999,999,0,2
8,Tom Clancy's Rainbow Six Siege,Ubisoft,630729,88112,"20,000,000 .. 50,000,000",11497,703,3224,351,1999,1999,0,123
9,Brawlhalla,Ubisoft,137256,24538,"20,000,000 .. 50,000,000",3059,853,199,245,0,0,0,123
10,Left 4 Dead 2,Valve,359918,10729,"20,000,000 .. 50,000,000",3005,238,565,116,999,999,0,33
11,Garry's Mod,Valve,558825,21010,"20,000,000 .. 50,000,000",10016,660,1564,131,999,999,0,33
12,Counter-Strike,Valve,158204,4131,"10,000,000 .. 20,000,000",8306,557,207,246,999,999,0,33
13,Half-Life 2: Lost Coast,Valve,7027,1121,"10,000,000 .. 20,000,000",37,0,21,0,0,0,0,33
14,Serena,Other,4748,1423,"10,000,000 .. 20,000,000",692,0,35,0,0,0,0,2
15,Paladins,Other,233162,39519,"10,000,000 .. 20,000,000",3291,1527,497,188,0,0,0,5
16,War Thunder,Other,133190,32089,"10,000,000 .. 20,000,000",2854,522,281,390,0,0,0,4
17,PAYDAY 2,Other,388600,58615,"10,000,000 .. 20,000,000",4684,601,861,203,999,999,0,3
18,Counter-Strike: Source,Valve,104170,4310,"10,000,000 .. 20,000,000",10685,160,518,273,999,999,0,33
19,Path of Exile,Other,127982,9208,"10,000,000 .. 20,000,000",8893,2066,410,1208,0,0,0,1
20,Borderlands 2,Other,215658,15384,"10,000,000 .. 20,000,000",2806,631,1031,790,1999,1999,0,4
21,Heroes & Generals,Other,80983,39457,"10,000,000 .. 20,000,000",2633,1773,105,338,0,0,0,1
22,Guacamelee! Super Turbo Championship Edition,Other,4576,378,"10,000,000 .. 20,000,000",146,76,53,76,1499,1499,0,4
23,Destiny 2,Other,221280,33093,"10,000,000 .. 20,000,000",4672,1524,363,1179,0,0,0,1
24,Robocraft,Other,84386,32030,"10,000,000 .. 20,000,000",3422,9276,225,18552,0,0,0,3
