Big Fish Games,320
Strategy First,146
Ubisoft,123
Choice of Games,116
Square Enix,114
Sekai Project,112
THQ Nordic,109
1C Entertainment,97
Degica,96
SEGA,89
Plug In Digital,86
Slitherine Ltd.,86
Artifex Mundi,79
Devolver Digital,78
Alawar Entertainment,78
"KOEI TECMO GAMES CO., LTD.",77
PLAYISM,76
Laush Studio,74
BANDAI NAMCO Entertainment,70
Buka Entertainment,67
HH-Games,66
Sokpop Collective,64
RewindApp,64
Electronic Arts,63
Ripknot Systems,62
Hosted Games,61
Blender Games,59
Daedalic Entertainment,58
Paradox Interactive,58
2K,58
MAGIX Software GmbH,56
Microids,56
8floor,55
United Independent Entertainment GmbH,55
Focus Home Interactive,54
Forever Entertainment S. A.,54
Back To Basics Gaming,54
Tero Lunkka,52
Activision,52
MangaGamer,51
Ghost_RUS Games,50
Team17 Digital Ltd,50
tinyBuild,48
Sometimes You,48
KISS ltd,45
Kalypso Media Digital,44
familyplay,44
Bethesda Softworks,43
HexWar Games,42
Kagura Games,41
Disney,41
Deep Silver,41
Individual Software,41
8Floor,40
Iceberg Interactive,40
GrabTheGames,40
New Reality Games,39
Funbox Media Ltd,38
EnsenaSoft,38
Ziggurat,38
Aldorlea Games,38
Xbox Game Studios,37
MumboJumbo,37
NedoStudio,35
"Humongous Entertainment, Nightdive Studios",35
HeR Interactive,35
For Kids,35
Bitlock Studio,35
SakuraGame,34
Nacon,34
Capcom,34
Valve,33
Qumaron,32
Viva Media,32
Garage Games,32
505 Games,32
GameHouse,32
Warner Bros. Interactive Entertainment,31
КиКо,31
HandyGames,31
Nightdive Studios,30
Arc System Works,30
Rebellion,30
Ultimate Games S.A.,30
DRUNKEN APES,30
KEMCO,29
PsychoFlux Entertainment,29
"LucasArts, Lucasfilm, Disney",29
Jetdogs Studios,29
"NIS America, Inc.",29
Digital Tribe,29
Headup,27
Asmodee Digital,27
Aerosoft GmbH,27
Libredia,27
Curve Digital,27
Bohemia Interactive,27
Snkl Studio,26
W.T.B.,26
Winter Wolves,26
Winged Cloud,26
Telltale Games,26
Fruitbat Factory,25
Headup Games,25
"Spike Chunsoft Co., Ltd.",25
DigiPen Institute of Technology,25
Milestone S.r.l.,25
Frontwing USA,25
"Retroism, Nightdive Studios",25
Good Shepherd Entertainment,25
Paradise Project,24
Codemasters,24
Senpai Studios,24
Anamik Majumdar,24
Bmc Studio,23
Metal Fox,23
"XSEED Games, Marvelous USA, Inc.",23
Quiet River,23
SNK CORPORATION,23
PQube Limited,22
Adult Swim Games,22
FIVE-BN GAMES,22
Warfare Studios,22
Dharker Studios Ltd,21
Minimol Games,21
"PopCap Games, Inc.",21
Idea Factory International,21
Libredia Entertainment,21
3D Realms (Apogee Software),20
AFBIK Studio,20
Rising Star Games,20
Assemble Entertainment,20
Cosmi Valusoft,20
Sacada,20
Quiquopro Games,20
KPL,20
Interplay Entertainment Corp.,20
Freeze Nova,20
Dear Villagers,20
Black Shell Media,19
id Software,19
Dnovel,19
EGAMER,19
Alternative Software Ltd,19
JoyBits Ltd.,19
Red twice potato,19
Armor Games Studios,19
RunServer,19
indie_games_studio,19
"Jackbox Games, Inc.",19
iWin,19
ebi-hime,18
Kedexa,18
Zoo Corporation,18
Kiddy,18
0Cube,18
None,18
Dogenzaka Lab,18
NanningsGames,18
Henteko Doujin,18
Konami Digital Entertainment,18
PlayFirst,18
baKno Games,18
Meridian4,18
Bullid Games,18
Boogygames Studios,18
DLsite,17
Valkyrie Initiative,17
azimut team,17
Rockstar Games,17
Stardock Entertainment,17
upjers,17
Droid Riot,17
hede,17
Versus Evil,17
Piko Interactive LLC,17
Digerati,17
astragon Entertainment,17
Microids Indie,17
Topware Interactive,16
Mia Blais-Côté,16
Andy Jurko,16
Interplay,16
Fellow Traveller,16
Atari,16
Spiderweb Software,16
Crew Lab,16
橙光游戏,16
"CAPCOM Co., Ltd.",16
No Gravity Games,16
"CFK Co., Ltd.",16
Art Of Adventures,16
BadLand Publishing,15
David Mulder,15
Narko Games,15
Sapphire Dragon Productions,15
Ghostlight LTD,15
IO Games,15
b-alive gmbh,15
Nival,15
Tonguç Bodur,15
Green Man Gaming Publishing,15
"NovaLogic, THQ Nordic",15
Phoenix Online Publishing,15
Music Breath,15
Skunkape Games,15
10tons Ltd,14
Educational Games,14
Wales Interactive,14
Displacement Studios,14
Wolverine Studios,14
Wadjet Eye Games,14
NS,14
Wonderbox Games,14
SOEDESCO,14
Xitilon,14
Raw Fury,14
Double Fine Productions,14
Merge Games,14
Walter Machado,14
City Interactive S.A.,13
Fabio Cunha,13
"XSEED Games, Marvelous USA, Inc., Marvelous",13
Meng Games,13
Dreambakers,13
Frogwares,13
Fury Games Production,13
Flying Interactive,13
Nyu Media,13
Ripstone,13
L. Stotch,13
Game for people,13
Yash Future Tech Solutions Pvt Ltd,13
"Nicalis, Inc.",13
cBlck,13
Softwaves Dist.,13
Tin Man Games,13
Tripwire Interactive,13
Toplitz Productions,13
Crescent Moon Games,13
Interplay Inc.,13
The Digital Puzzle Company,13
Anarchy Enterprises,13
"Mediascape Co., Ltd.",12
Zachtronics,12
Racing Bros,12
Excalibur Games,12
Mihai Morosanu,12
Stegalosaurus Game Development,12
Ningbing Games,12
HIKARI FIELD,12
Ahlman Game Studio,12
Chilla's Art,12
Vive Studios,12
SimProse Studios,12
11 bit studios,12
Enoops,12
exosyphen studios,12
Movavi,12
Top Hat Studios Inc,12
Akella,12
Wastelands Interactive,12
CasGames,12
"PopCap Games, Inc., Electronic Arts",12
War Child Gaming,12
Pixeljam,12
"CINEMAX, s.r.o.",12
GameChain,12
Microïds Indie,12
Console Classics,11
SMU Guildhall,11
BekkerDev Studio,11
Gamera Game,11
Outright Games LTD.,11
Annapurna Interactive,11
Nomad Games,11
Funcom,11
Renegade Sector Games,11
Amaterasu Software,11
Aksys Games,11
Simulators Live,11
Retroism,11
Brewsterland Studios,11
Zloy Krot Studio,11
Screen 7,11
Crisp App Studio,11
"Arcen Games, LLC",11
Astero,11
Clickteam,11
Real Fighting,11
Enaayah Software Development and Services Private Limited,11
Notus Games Ltd,11
Kongregate,11
Reverb Triple XP,11
Excalibur Publishing,11
Sigma Team Inc.,11
Absolutist Ltd.,11
Gamenesis,11
Blaze Epic,11
CI Games,11
KishMish Games,11
gigantumgames,10
Zeiva Inc,10
Sandlot Games,10
Klabater,10
"INTI CREATES CO., LTD.",10
WhackAKey Games,10
Mikhail Melnikov,10
Hanako Games,10
Phr00t's Software,10
Indie,10
Orangepixel,10
Chubby Pixel,10
"H2 Interactive Co., Ltd.",10
Dotemu,10
Klei Entertainment,10
Casual.US,10
Artur Rezende,10
Ivanovich Games,10
Apogee Software,10
D3 PUBLISHER,10
Grey Alien Games,10
Tranquility games,10
Team Syukino,10
Vertigo Gaming Inc.,10
magnussoft,10
Akupara Games,10
inXile Entertainment,10
Silver Cow Studio,10
Big Ant Studios,10
Might and Delight,10
Dikobraz Games,10
ROSEVERTE,10
meokigame,10
Starship Studio,10
Lucky Games,10
Humble Games,10
Daybreak Game Company,10
Positech Games,10
ImperiumGame,10
Nkidu Games Inc.,10
Another Indie,9
Vidas Salavejus,9
Ratalaika Games S.L.,9
bitComposer Interactive GmbH,9
Sedoc LLC,9
Gearbox Publishing,9
Cakewalk,9
StarSystemStudios,9
Infernal Dream,9
Nickervision Studios,9
FireFly Studios,9
Phat Phrog Studios,9
Ludosity,9
Self,9
rondomedia GmbH,9
"Koch Media , CyberLink",9
HaDe Games,9
"Athlon Games, Inc.",9
IndieGala,9
A Nostru,9
SC Jogos,9
Anawiki Games,9
"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",9
Chucklefish,9
WayForward,9
Out of the Park Developments,9
Studio Inward,9
"Lucasfilm, Disney",9
NVLMaker,9
Bossa Studios,9
Rainbow Games,9
Ominous Entertainment,9
Google Inc.,9
Playtouch,9
SAT-BOX,9
Fatshark,9
Zojoi,9
Deck13,9
Matthew Brown,9
Lonely Troops,9
LunarCore Games,9
InvertMouse,9
